Category,Skill,Markdown Files
ai,ai-agents,21
ai,ai-cost-optimization,21
ai,ai-evals,21
ai,ai-observability,21
ai,ai-safety,21
ai,ai-testing,21
ai,embeddings,22
ai,langchain-patterns,22
ai,llm-ops,20
ai,mcp-patterns,19
ai,model-training,22
ai,multimodal,17
ai,prompt-engineering,20
ai,rag-patterns,20
ai,vector-databases,21
aspirational,roadmapping,17
backend,bulk-import,17
backend,bun,15
backend,deno,30
backend,dotnet,38
backend,elixir,15
backend,elysia,40
backend,fintech-patterns,17
backend,go,37
backend,java,38
backend,kotlin,40
backend,nestjs,40
backend,nodejs,114
backend,php,68
backend,python,59
backend,report-generation,17
backend,ruby,25
backend,rust,45
backend,scala,25
backend,sms-messaging,17
backend,spring-boot,40
backend,swift,25
backend,transactional-email,17
backend,universal,930
backend,web-real-time,17
blockchain,blockchain-application,29
blockchain,blockchain-bitcoin,26
blockchain,blockchain-core,28
blockchain,blockchain-cross-chain,22
blockchain,blockchain-cryptography,27
blockchain,blockchain-data-indexing,19
blockchain,blockchain-defi,19
blockchain,blockchain-ethereum,27
blockchain,blockchain-infrastructure,30
blockchain,blockchain-management,18
blockchain,blockchain-patterns,29
blockchain,blockchain-security,20
blockchain,blockchain-solana,20
blockchain,blockchain-testing,29
blockchain,blockchain-web3,29
blockchain,blockchain-zk,20
cloud-native,aws-serverless,9
cloud-native,azure-functions,9
cloud-native,gcp-bigquery,9
cloud-native,k8s-operators,9
cloud-native,kubernetes-patterns,1
core,context-compressor,16
core,master-orchestrator,25
core,onboarding,17
core,project-init,17
data,batch-processing,17
data,bi-tools,17
data,cdc-patterns,15
data,data-api,15
data,data-batch-processing,8
data,data-bi-tools,8
data,data-catalog,19
data,data-clean-room,17
data,data-contracts,19
data,data-cost-optimization,15
data,data-distributed-compute,8
data,data-distributed-storage,8
data,data-etl-pipeline,8
data,data-formats,17
data,data-lake,33
data,data-lakehouse,27
data,data-lineage,17
data,data-mesh,19
data,data-modeling,17
data,data-observability,17
data,data-pipeline-cicd,17
data,data-platform,18
data,data-quality,27
data,data-replication,17
data,data-strategy,16
data,data-streaming,8
data,data-testing,17
data,data-versioning,19
data,data-virtualization,17
data,data-warehouse,25
data,dimensional-modeling,16
data,distributed-compute,17
data,distributed-storage,15
data,etl-pipeline,15
data,feature-store,15
data,graph-database,17
data,nosql-database,17
data,relational-database,17
data,reverse-etl,15
data,schema-registry,17
data,search-engine,17
data,streaming,15
data,workflow-orchestration,15
data-science,analytics-engineering,15
data-science,causal-inference,15
data-science,experimentation,15
data-science,statistical-analysis,15
design,accessibility,15
design,brand-identity,17
design,design-systems,17
design,information-architecture,15
design,motion-design,15
design,prototyping,16
design,ux-research,15
design,visual-design,16
desktop,appkit,15
desktop,electron,15
desktop,gnome,15
desktop,gtk,15
desktop,kde,15
desktop,qt,15
desktop,swiftui,15
desktop,tauri,15
desktop,uwp,15
desktop,winforms,15
desktop,winui3,15
desktop,wpf,15
dev-loop,api-client-generator,16
dev-loop,changelog-generator,15
dev-loop,code-review,17
dev-loop,debugging-strategy,17
dev-loop,dev-container,15
dev-loop,git-workflow,15
dev-loop,performance-profiler,17
dev-loop,pr-writer,15
dev-loop,readme-writer,15
dev-loop,refactor-guide,15
dev-loop,security-auditor,15
dev-loop,tech-debt-tracker,16
devops,alibaba-cloud,16
devops,ansible,18
devops,api-documentation,24
devops,apm-observability,16
devops,argo-cd,17
devops,aws,17
devops,azure,17
devops,backup-dr,17
devops,bare-metal,16
devops,cdn-edge,16
devops,chaos-engineering,18
devops,cicd-pipeline,27
devops,cilium-ebpf,16
